region,Age_0_4,Age_5_7,Age_8_9,Age_10_14,Age_15,Age_16_17,Age_18_19,Age_20_24,Age_25_29,Age_30_44,Age_45_59,Age_60_64,Age_65_74,Age_75_84,Age_85_89,Age_90_over
North East,149843,83689,52610,145045,31250,63605,74585,184018,164303,491533,538344,168576,239242,154863,37546,17834
North West,432091,241108,151058,412407,87884,177491,191462,489640,466582,1394536,1397119,439644,627742,394596,99316,49501
Yorkshire and The Humber,328447,182818,114657,306096,65774,130943,151928,382679,347304,1042121,1031066,325329,463849,296421,75868,38433
East Midlands,270174,151534,96030,264538,56179,114815,124920,307676,278581,895538,908888,291401,414713,256569,67862,33804
West Midlands,354801,200808,126252,340758,71823,146021,151468,380909,363286,1109645,1074836,335265,505689,316994,82016,41276
East,361269,201093,127419,345453,73398,148076,137223,352974,362643,1183973,1156696,372566,531393,350137,93653,48999
London,591495,301095,181714,456865,93599,186626,191434,629972,832966,2070954,1389882,342590,473058,308661,80574,42456
South East,534235,299327,188731,512875,106916,217612,217156,534287,528057,1761278,1716857,535399,763695,501118,139576,77631
South West,296094,166138,106551,296892,64003,128935,135139,333166,307159,994693,1063214,361507,532902,348759,99900,53883
Wales,178301,99429,63650,177748,37168,77111,84841,211924,185728,570894,609233,204885,300550,187434,49360,25200
