"Population"	"Units"	"Date"	"Sex"	"Ethnic Grou"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 0 to 4"	"number"	70174	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 5 to 7"	"number"	39378	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 8 to 9"	"number"	25404	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 10 to 14"	"number"	69670	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 15"	"number"	15552	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 16 to 17"	"number"	30955	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 18 to 19"	"number"	35372	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 20 to 24"	"number"	85026	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 25 to 29"	"number"	74452	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 30 to 34"	"number"	68213	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 35 to 39"	"number"	71289	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 40 to 44"	"number"	85233	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 45 to 49"	"number"	93094	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 50 to 54"	"number"	86808	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 55 to 59"	"number"	77719	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 60 to 64"	"number"	81571	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 65 to 69"	"number"	61927	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 70 to 74"	"number"	50885	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 75 to 79"	"number"	39608	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 80 to 84"	"number"	26054	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North East"	"Age 85 and over"	"number"	17543	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 0 to 4"	"number"	181611	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 5 to 7"	"number"	102671	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 8 to 9"	"number"	65093	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 10 to 14"	"number"	181372	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 15"	"number"	39220	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 16 to 17"	"number"	80295	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 18 to 19"	"number"	83829	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 20 to 24"	"number"	210457	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 25 to 29"	"number"	198816	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 30 to 34"	"number"	180006	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 35 to 39"	"number"	192893	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 40 to 44"	"number"	229918	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 45 to 49"	"number"	240065	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 50 to 54"	"number"	216364	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 55 to 59"	"number"	193658	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 60 to 64"	"number"	212087	""
