"Population"	"Units"	"Date"	"Sex"	"Highest Level of Qualificatio"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 16 to 18"	"number"	8928	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 19 to 24"	"number"	10747	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 25 to 29"	"number"	8981	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 30 to 34"	"number"	8706	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 35 to 39"	"number"	9961	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 40 to 44"	"number"	13342	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 45 to 49"	"number"	16200	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 50 to 54"	"number"	18269	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 55 to 59"	"number"	20273	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 60 to 64"	"number"	27306	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North East"	"Age 65 and over"	"number"	96659	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 16 to 18"	"number"	23953	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 19 to 24"	"number"	27705	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 25 to 29"	"number"	24707	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 30 to 34"	"number"	24468	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 35 to 39"	"number"	29552	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 40 to 44"	"number"	38107	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 45 to 49"	"number"	43312	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 50 to 54"	"number"	47860	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 55 to 59"	"number"	53372	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 60 to 64"	"number"	70271	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"North West"	"Age 65 and over"	"number"	240970	""
