"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"No qualifications"	"number"	34476	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Level 1 qualifications"	"number"	53039	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Level 2 qualifications"	"number"	79665	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Apprenticeship"	"number"	11721	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Level 3 qualifications"	"number"	82921	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Level 4 qualifications and above"	"number"	32700	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North East"	"Other qualifications"	"number"	4633	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"No qualifications"	"number"	83069	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Level 1 qualifications"	"number"	129446	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Level 2 qualifications"	"number"	209880	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Apprenticeship"	"number"	24505	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Level 3 qualifications"	"number"	197181	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Level 4 qualifications and above"	"number"	87472	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"North West"	"Other qualifications"	"number"	13431	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"No qualifications"	"number"	65524	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	96497	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	148440	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	19537	""
