region,No_qualifications,Highest_Level_1,Highest_Level_2,Highest_Apprenticeship,Highest_Level_3,Highest_Level_4,Highest_Other,Schoolchildren_fulltime_students_Age_16_17,Schoolchildren_fulltime_students_Age_18_over,Fulltime_students_Age_18_74_Economically_active_In_employment,Fulltime_students_Age_18_74_Economically_active_Unemployed,Fulltime_students_Age_18_74_Economically_inactive
North East,565208,291852,335926,101328,279693,473382,87060,54991,118055,37675,10243,69765
North West,1419620,777561,905338,225633,740829,1399038,259610,155844,311026,109372,29312,171427
Yorkshire and The Humber,1104692,581029,662318,181690,547480,998718,210014,113290,245450,80433,23267,141077
East Midlands,914014,512492,575351,149078,477203,871702,194927,100502,196370,63118,16483,116226
West Midlands,1196794,616225,695544,150353,553600,1050404,244485,129028,237823,76827,22300,137919
East,1067449,693576,769520,177366,557318,1218862,254242,130654,185736,68781,14488,101721
London,1152517,702687,775928,107665,685508,2470225,654643,171867,529685,165980,52671,309774
South East,1333955,946056,1110706,253423,892915,2093693,361918,193805,329933,119336,25735,183812
South West,902561,592963,713983,186398,575085,1193337,194930,113167,194119,70380,14019,109010
Wales,650517,332943,393819,98843,308171,614116,108751,67220,136804,44886,11238,80220
