KS101EW - Usual resident population,,,
ONS Crown Copyright Reserved [from Nomis on 12 March 2017],,,
Population :,All usual residents,,
Units      :,Persons,,
Date       :,2011,,
Rural Urban:,Total,,
region,All usual residents,Males,Females
North East,2596886,1269703,1327183
North West,7052177,3464685,3587492
Yorkshire and The Humber,5283733,2598078,2685655
East Midlands,4533222,2234493,2298729
West Midlands,5601847,2763187,2838660
East,5846965,2875807,2971158
London,8173941,4033289,4140652
South East,8634750,4239298,4395452
South West,5288935,2590608,2698327
Wales,3063456,1504228,1559228
,"In order to protect against disclosure of personal information, records",,
,have been swapped between different geographic areas. Some counts will,,
,"be affected, particularly small counts at the lowest geographies",,
,"be affected, particularly small counts at the lowest geographies",,
