N,age,ethnicity,region,sex
35372,0,0,0,0
85026,1,0,0,0
74452,2,0,0,0
68213,3,0,0,0
71289,4,0,0,0
85233,5,0,0,0
93094,6,0,0,0
86808,7,0,0,0
77719,8,0,0,0
81571,9,0,0,0
61927,10,0,0,0
50885,11,0,0,0
39608,12,0,0,0
26054,13,0,0,0
17543,14,0,0,0
83829,0,0,1,0
210457,1,0,1,0
198816,2,0,1,0
180006,3,0,1,0
192893,4,0,1,0
229918,5,0,1,0
240065,6,0,1,0
216364,7,0,1,0
193658,8,0,1,0
212087,9,0,1,0
162443,10,0,1,0
130095,11,0,1,0
98252,12,0,1,0
65776,13,0,1,0
46055,14,0,1,0
65203,0,0,2,0
161814,1,0,2,0
143521,2,0,2,0
130973,3,0,2,0
143230,4,0,2,0
169694,5,0,2,0
176569,6,0,2,0
159879,7,0,2,0
143492,8,0,2,0
155876,9,0,2,0
119215,10,0,2,0
95226,11,0,2,0
73167,12,0,2,0
49240,13,0,2,0
35959,14,0,2,0
53890,0,0,3,0
129486,1,0,3,0
116531,2,0,3,0
111674,3,0,3,0
125312,4,0,3,0
149189,5,0,3,0
154245,6,0,3,0
136615,7,0,3,0
124748,8,0,3,0
138558,9,0,3,0
109735,10,0,3,0
83969,11,0,3,0
64664,12,0,3,0
44204,13,0,3,0
32807,14,0,3,0
60390,0,0,4,0
148012,1,0,4,0
137063,2,0,4,0
127561,3,0,4,0
141376,4,0,4,0
167834,5,0,4,0
174473,6,0,4,0
155007,7,0,4,0
143349,8,0,4,0
156225,9,0,4,0
130005,10,0,4,0
100171,11,0,4,0
76438,12,0,4,0
52759,13,0,4,0
37477,14,0,4,0
61878,0,0,5,0
156304,1,0,5,0
155917,2,0,5,0
154986,3,0,5,0
168244,4,0,5,0
193567,5,0,5,0
199493,6,0,5,0
177530,7,0,5,0
159133,8,0,5,0
176053,9,0,5,0
139804,10,0,5,0
109703,11,0,5,0
88767,12,0,5,0
62464,13,0,5,0
46974,14,0,5,0
47390,0,0,6,0
164935,1,0,6,0
248624,2,0,6,0
247327,3,0,6,0
205936,4,0,6,0
186228,5,0,6,0
173027,6,0,6,0
149366,7,0,6,0
126291,8,0,6,0
128665,9,0,6,0
93594,10,0,6,0
71915,11,0,6,0
59309,12,0,6,0
43968,13,0,6,0
35139,14,0,6,0
97178,0,0,7,0
235513,1,0,7,0
226713,2,0,7,0
226334,3,0,7,0
249172,4,0,7,0
287469,5,0,7,0
300564,6,0,7,0
265224,7,0,7,0
232171,8,0,7,0
253375,9,0,7,0
199231,10,0,7,0
155118,11,0,7,0
124925,12,0,7,0
89374,13,0,7,0
69765,14,0,7,0
64282,0,0,8,0
157881,1,0,8,0
143848,2,0,8,0
137161,3,0,8,0
149153,4,0,8,0
176398,5,0,8,0
185061,6,0,8,0
167445,7,0,8,0
154515,8,0,8,0
173934,9,0,8,0
143218,10,0,8,0
111147,11,0,8,0
88269,12,0,8,0
63577,13,0,8,0
50062,14,0,8,0
39971,0,0,9,0
99981,1,0,9,0
86453,2,0,9,0
80645,3,0,9,0
84198,4,0,9,0
99535,5,0,9,0
104818,6,0,9,0
96044,7,0,9,0
89844,8,0,9,0
99548,9,0,9,0
80102,10,0,9,0
63420,11,0,9,0
48334,12,0,9,0
32574,13,0,9,0
23577,14,0,9,0
529,0,1,0,0
1137,1,1,0,0
869,2,1,0,0
764,3,1,0,0
598,4,1,0,0
563,5,1,0,0
555,6,1,0,0
403,7,1,0,0
234,8,1,0,0
188,9,1,0,0
133,10,1,0,0
115,11,1,0,0
79,12,1,0,0
57,13,1,0,0
42,14,1,0,0
2369,0,1,1,0
5557,1,1,1,0
4382,2,1,1,0
3282,3,1,1,0
2750,4,1,1,0
2777,5,1,1,0
2475,6,1,1,0
1628,7,1,1,0
1025,8,1,1,0
784,9,1,1,0
558,10,1,1,0
362,11,1,1,0
277,12,1,1,0
208,13,1,1,0
158,14,1,1,0
1949,0,1,2,0
4353,1,1,2,0
3319,2,1,2,0
2611,3,1,2,0
2098,4,1,2,0
2204,5,1,2,0
1800,6,1,2,0
1033,7,1,2,0
629,8,1,2,0
433,9,1,2,0
330,10,1,2,0
247,11,1,2,0
213,12,1,2,0
133,13,1,2,0
88,14,1,2,0
2046,0,1,3,0
4674,1,1,3,0
3515,2,1,3,0
3007,3,1,3,0
2047,4,1,3,0
1949,5,1,3,0
1625,6,1,3,0
1098,7,1,3,0
637,8,1,3,0
436,9,1,3,0
351,10,1,3,0
223,11,1,3,0
161,12,1,3,0
123,13,1,3,0
82,14,1,3,0
3248,0,1,4,0
6576,1,1,4,0
5001,2,1,4,0
3473,3,1,4,0
2775,4,1,4,0
2661,5,1,4,0
2417,6,1,4,0
1386,7,1,4,0
757,8,1,4,0
523,9,1,4,0
415,10,1,4,0
341,11,1,4,0
284,12,1,4,0
203,13,1,4,0
126,14,1,4,0
2251,0,1,5,0
4898,1,1,5,0
4114,2,1,5,0
3446,3,1,5,0
2754,4,1,5,0
2510,5,1,5,0
2120,6,1,5,0
1437,7,1,5,0
788,8,1,5,0
575,9,1,5,0
496,10,1,5,0
355,11,1,5,0
301,12,1,5,0
194,13,1,5,0
163,14,1,5,0
6885,0,1,6,0
17862,1,1,6,0
18382,2,1,6,0
14984,3,1,6,0
10923,4,1,6,0
9753,5,1,6,0
7803,6,1,6,0
4956,7,1,6,0
3015,8,1,6,0
2026,9,1,6,0
1681,10,1,6,0
1535,11,1,6,0
1119,12,1,6,0
690,13,1,6,0
420,14,1,6,0
3443,0,1,7,0
7259,1,1,7,0
5842,2,1,7,0
4809,3,1,7,0
4018,4,1,7,0
3956,5,1,7,0
3388,6,1,7,0
2168,7,1,7,0
1419,8,1,7,0
1085,9,1,7,0
879,10,1,7,0
633,11,1,7,0
449,12,1,7,0
276,13,1,7,0
192,14,1,7,0
1592,0,1,8,0
3661,1,1,8,0
2835,2,1,8,0
2240,3,1,8,0
1901,4,1,8,0
1690,5,1,8,0
1505,6,1,8,0
986,7,1,8,0
644,8,1,8,0
504,9,1,8,0
440,10,1,8,0
287,11,1,8,0
223,12,1,8,0
143,13,1,8,0
112,14,1,8,0
749,0,1,9,0
1640,1,1,9,0
1179,2,1,9,0
1005,3,1,9,0
791,4,1,9,0
850,5,1,9,0
756,6,1,9,0
549,7,1,9,0
435,8,1,9,0
291,9,1,9,0
252,10,1,9,0
202,11,1,9,0
155,12,1,9,0
81,13,1,9,0
68,14,1,9,0
1237,0,2,0,0
5907,1,2,0,0
4429,2,2,0,0
3904,3,2,0,0
3551,4,2,0,0
2671,5,2,0,0
1832,6,2,0,0
1497,7,2,0,0
1080,8,2,0,0
699,9,2,0,0
482,10,2,0,0
475,11,2,0,0
353,12,2,0,0
165,13,2,0,0
56,14,2,0,0
7620,0,2,1,0
22616,1,2,1,0
21967,2,2,1,0
22301,3,2,1,0
19379,4,2,1,0
15053,5,2,1,0
10043,6,2,1,0
9178,7,2,1,0
7611,8,2,1,0
4370,9,2,1,0
2997,10,2,1,0
3228,11,2,1,0
2134,12,2,1,0
978,13,2,1,0
469,14,2,1,0
6998,0,2,2,0
20211,1,2,2,0
19801,2,2,2,0
20048,3,2,2,0
16701,4,2,2,0
12578,5,2,2,0
7424,6,2,2,0
7071,7,2,2,0
6544,8,2,2,0
3359,9,2,2,0
2223,10,2,2,0
2543,11,2,2,0
1825,12,2,2,0
978,13,2,2,0
