N,age,ethnicity,region,sex
35372,Age 18 to 19,white,North East,male
85026,Age 20 to 24,white,North East,male
74452,Age 25 to 29,white,North East,male
68213,Age 30 to 34,white,North East,male
71289,Age 35 to 39,white,North East,male
85233,Age 40 to 44,white,North East,male
93094,Age 45 to 49,white,North East,male
86808,Age 50 to 54,white,North East,male
77719,Age 55 to 59,white,North East,male
81571,Age 60 to 64,white,North East,male
61927,Age 65 to 69,white,North East,male
50885,Age 70 to 74,white,North East,male
39608,Age 75 to 79,white,North East,male
26054,Age 80 to 84,white,North East,male
17543,Age 85 and over,white,North East,male
83829,Age 18 to 19,white,North West,male
210457,Age 20 to 24,white,North West,male
198816,Age 25 to 29,white,North West,male
180006,Age 30 to 34,white,North West,male
192893,Age 35 to 39,white,North West,male
229918,Age 40 to 44,white,North West,male
240065,Age 45 to 49,white,North West,male
216364,Age 50 to 54,white,North West,male
193658,Age 55 to 59,white,North West,male
212087,Age 60 to 64,white,North West,male
162443,Age 65 to 69,white,North West,male
130095,Age 70 to 74,white,North West,male
98252,Age 75 to 79,white,North West,male
65776,Age 80 to 84,white,North West,male
46055,Age 85 and over,white,North West,male
65203,Age 18 to 19,white,Yorkshire and the Humber,male
161814,Age 20 to 24,white,Yorkshire and the Humber,male
143521,Age 25 to 29,white,Yorkshire and the Humber,male
130973,Age 30 to 34,white,Yorkshire and the Humber,male
143230,Age 35 to 39,white,Yorkshire and the Humber,male
169694,Age 40 to 44,white,Yorkshire and the Humber,male
176569,Age 45 to 49,white,Yorkshire and the Humber,male
159879,Age 50 to 54,white,Yorkshire and the Humber,male
143492,Age 55 to 59,white,Yorkshire and the Humber,male
155876,Age 60 to 64,white,Yorkshire and the Humber,male
119215,Age 65 to 69,white,Yorkshire and the Humber,male
95226,Age 70 to 74,white,Yorkshire and the Humber,male
73167,Age 75 to 79,white,Yorkshire and the Humber,male
49240,Age 80 to 84,white,Yorkshire and the Humber,male
35959,Age 85 and over,white,Yorkshire and the Humber,male
53890,Age 18 to 19,white,East Midlands,male
129486,Age 20 to 24,white,East Midlands,male
116531,Age 25 to 29,white,East Midlands,male
111674,Age 30 to 34,white,East Midlands,male
125312,Age 35 to 39,white,East Midlands,male
149189,Age 40 to 44,white,East Midlands,male
154245,Age 45 to 49,white,East Midlands,male
136615,Age 50 to 54,white,East Midlands,male
124748,Age 55 to 59,white,East Midlands,male
138558,Age 60 to 64,white,East Midlands,male
109735,Age 65 to 69,white,East Midlands,male
83969,Age 70 to 74,white,East Midlands,male
64664,Age 75 to 79,white,East Midlands,male
44204,Age 80 to 84,white,East Midlands,male
32807,Age 85 and over,white,East Midlands,male
60390,Age 18 to 19,white,West Midlands,male
148012,Age 20 to 24,white,West Midlands,male
137063,Age 25 to 29,white,West Midlands,male
127561,Age 30 to 34,white,West Midlands,male
141376,Age 35 to 39,white,West Midlands,male
167834,Age 40 to 44,white,West Midlands,male
174473,Age 45 to 49,white,West Midlands,male
155007,Age 50 to 54,white,West Midlands,male
143349,Age 55 to 59,white,West Midlands,male
156225,Age 60 to 64,white,West Midlands,male
130005,Age 65 to 69,white,West Midlands,male
100171,Age 70 to 74,white,West Midlands,male
76438,Age 75 to 79,white,West Midlands,male
52759,Age 80 to 84,white,West Midlands,male
37477,Age 85 and over,white,West Midlands,male
61878,Age 18 to 19,white,East of England,male
156304,Age 20 to 24,white,East of England,male
155917,Age 25 to 29,white,East of England,male
154986,Age 30 to 34,white,East of England,male
168244,Age 35 to 39,white,East of England,male
193567,Age 40 to 44,white,East of England,male
199493,Age 45 to 49,white,East of England,male
177530,Age 50 to 54,white,East of England,male
159133,Age 55 to 59,white,East of England,male
176053,Age 60 to 64,white,East of England,male
139804,Age 65 to 69,white,East of England,male
109703,Age 70 to 74,white,East of England,male
88767,Age 75 to 79,white,East of England,male
62464,Age 80 to 84,white,East of England,male
46974,Age 85 and over,white,East of England,male
47390,Age 18 to 19,white,London,male
164935,Age 20 to 24,white,London,male
248624,Age 25 to 29,white,London,male
247327,Age 30 to 34,white,London,male
205936,Age 35 to 39,white,London,male
186228,Age 40 to 44,white,London,male
173027,Age 45 to 49,white,London,male
149366,Age 50 to 54,white,London,male
126291,Age 55 to 59,white,London,male
128665,Age 60 to 64,white,London,male
93594,Age 65 to 69,white,London,male
71915,Age 70 to 74,white,London,male
59309,Age 75 to 79,white,London,male
43968,Age 80 to 84,white,London,male
35139,Age 85 and over,white,London,male
97178,Age 18 to 19,white,South East,male
235513,Age 20 to 24,white,South East,male
226713,Age 25 to 29,white,South East,male
226334,Age 30 to 34,white,South East,male
249172,Age 35 to 39,white,South East,male
287469,Age 40 to 44,white,South East,male
300564,Age 45 to 49,white,South East,male
265224,Age 50 to 54,white,South East,male
232171,Age 55 to 59,white,South East,male
253375,Age 60 to 64,white,South East,male
199231,Age 65 to 69,white,South East,male
155118,Age 70 to 74,white,South East,male
124925,Age 75 to 79,white,South East,male
89374,Age 80 to 84,white,South East,male
69765,Age 85 and over,white,South East,male
64282,Age 18 to 19,white,South West,male
157881,Age 20 to 24,white,South West,male
143848,Age 25 to 29,white,South West,male
137161,Age 30 to 34,white,South West,male
149153,Age 35 to 39,white,South West,male
176398,Age 40 to 44,white,South West,male
185061,Age 45 to 49,white,South West,male
167445,Age 50 to 54,white,South West,male
154515,Age 55 to 59,white,South West,male
173934,Age 60 to 64,white,South West,male
143218,Age 65 to 69,white,South West,male
111147,Age 70 to 74,white,South West,male
88269,Age 75 to 79,white,South West,male
63577,Age 80 to 84,white,South West,male
50062,Age 85 and over,white,South West,male
39971,Age 18 to 19,white,Wales,male
99981,Age 20 to 24,white,Wales,male
86453,Age 25 to 29,white,Wales,male
80645,Age 30 to 34,white,Wales,male
