"","V1","V2"
"1","1.1.1.6","161376.3293438"
"2","2.1.1.6","166726.964619137"
"3","1.2.1.6","89826.8331817364"
"4","2.2.1.6","92805.1548739472"
"5","1.3.1.6","56917.1739303888"
"6","2.3.1.6","58804.334456612"
"7","1.4.1.6","154311.43303412"
"8","2.4.1.6","159427.822781846"
"9","1.5.1.6","32786.3719864594"
"10","2.5.1.6","33873.445408035"
"11","1.6.1.6","66144.5109984873"
"12","2.6.1.6","68337.6154968826"
"13","1.7.1.6","61296.5519918516"
"14","2.7.1.6","63328.9163087112"
"15","1.8.1.6","157671.011002323"
"16","2.8.1.6","162898.791785277"
"17","1.9.1.6","161990.085510308"
"18","2.9.1.6","167361.070643696"
"19","1.10.1.6","528872.437940057"
"20","2.10.1.6","546407.869152939"
"21","1.11.1.6","516687.993286597"
"22","2.11.1.6","533819.43390409"
"23","1.12.1.6","166422.620037429"
"24","2.12.1.6","171940.571430965"
"25","1.13.1.6","237369.527357702"
"26","2.13.1.6","245239.812743017"
"27","1.14.1.6","156403.74299331"
"28","2.14.1.6","161589.505910694"
"29","1.15.1.6","41834.1384730904"
"30","2.15.1.6","43221.2019782378"
"31","1.16.1.6","21887.5097545509"
"32","2.16.1.6","22613.2176837013"
"33","1.1.2.6","3407.19539450149"
"34","2.1.2.6","3520.16524542025"
"35","1.2.2.6","1896.54563072527"
"36","2.2.2.6","1959.42798772464"
"37","1.3.2.6","1201.71238044777"
"38","2.3.2.6","1241.55666665615"
"39","1.4.2.6","3258.03174536626"
"40","2.4.2.6","3366.05588779043"
"41","1.5.2.6","692.230242743276"
"42","2.5.2.6","715.182007543839"
"43","1.6.2.6","1396.53240448586"
"44","2.6.2.6","1442.83619375271"
"45","1.7.2.6","1294.17573503311"
"46","2.7.2.6","1337.08576011864"
"47","1.8.2.6","3328.96370067393"
"48","2.8.2.6","3439.33968133708"
"49","1.9.2.6","3420.15384505231"
"50","2.9.2.6","3533.55334970599"
"51","1.10.2.6","11166.2704323208"
"52","2.10.2.6","11536.5021801371"
"53","1.11.2.6","10909.0159522082"
"54","2.11.2.6","11270.7181040073"
"55","1.12.2.6","3513.73951085712"
"56","2.12.2.6","3630.24196602875"
"57","1.13.2.6","5011.66660375048"
"58","2.13.2.6","5177.83471667816"
"59","1.14.2.6","3302.20742395436"
"60","2.14.2.6","3411.69626659278"
"61","1.15.2.6","883.258929720646"
"62","2.15.2.6","912.544491028409"
"63","1.16.2.6","462.118718005637"
"64","2.16.2.6","477.440845631224"
"65","1.1.3.6","8459.70063468345"
"66","2.1.3.6","8740.1926549121"
"67","1.2.3.6","4708.91933636819"
"68","2.2.3.6","4865.0494826687"
"69","1.3.3.6","2983.72291885196"
"70","2.3.3.6","3082.65200694287"
"71","1.4.3.6","8089.34329641707"
"72","2.4.3.6","8357.5556530379"
"73","1.5.3.6","1718.73342906393"
"74","2.5.3.6","1775.72019875837"
"75","1.6.3.6","3467.44013790662"
"76","2.6.3.6","3582.40747910494"
"77","1.7.3.6","3213.29950865744"
"78","2.7.3.6","3319.84049748249"
"79","1.8.3.6","8265.45973174215"
"80","2.8.3.6","8539.51145040107"
"81","1.9.3.6","8491.87507719596"
"82","2.9.3.6","8773.43388155443"
"83","1.10.3.6","27724.6515464877"
"84","2.10.3.6","28643.8972572079"
"85","1.11.3.6","27085.9162710772"
"86","2.11.3.6","27983.9839099569"
"87","1.12.3.6","8724.23824535588"
"88","2.12.3.6","9013.50134296046"
"89","1.13.3.6","12443.4305167793"
"90","2.13.3.6","12856.0081143738"
"91","1.14.3.6","8199.02676710749"
"92","2.14.3.6","8470.87581722472"
"93","1.15.3.6","2193.03716493806"
"94","2.15.3.6","2265.75007185915"
"95","1.16.3.6","1147.39119990604"
"96","2.16.3.6","1185.4343990158"
"97","1.1.4.6","3569.05206679728"
"98","2.1.4.6","3687.38847936641"
"99","1.2.4.6","1986.63983698703"
"100","2.2.4.6","2052.50938076954"
"101","1.3.4.6","1258.79897057108"
"102","2.3.4.6","1300.53603451276"
"103","1.4.4.6","3412.80249241236"
"104","2.4.4.6","3525.95825371832"
"105","1.5.4.6","725.11420464747"
"106","2.5.4.6","749.156278586139"
"107","1.6.4.6","1462.87379720672"
"108","2.6.4.6","1511.37721883323"
"109","1.7.4.6","1355.65473860786"
"110","2.7.4.6","1400.60317742208"
"111","1.8.4.6","3487.10402560337"
"112","2.8.4.6","3602.72334774332"
"113","1.9.4.6","3582.62610038383"
"114","2.9.4.6","3701.41257711808"
"115","1.10.4.6","11696.7170797444"
"116","2.10.4.6","12084.5364536699"
"117","1.11.4.6","11427.2418875025"
"118","2.11.4.6","11806.1264723218"
"119","1.12.4.6","3680.65749432804"
"120","2.12.4.6","3802.6943252912"
"121","1.13.4.6","5249.7426707844"
"122","2.13.4.6","5423.80449530946"
"123","1.14.4.6","3459.07670880203"
"124","2.14.4.6","3573.76674998385"
"125","1.15.4.6","925.217589142068"
"126","2.15.4.6","955.894342603718"
"127","1.16.4.6","484.071376788487"
"128","2.16.4.6","500.121372441241"
"129","1.1.5.6","876.475457319361"
"130","2.1.5.6","905.536104063339"
"131","1.2.5.6","487.872137212776"
"132","2.2.5.6","504.048151860273"
"133","1.3.5.6","309.131495633934"
"134","2.3.5.6","319.381139382694"
"135","1.4.5.6","838.104227479649"
"136","2.4.5.6","865.892627811942"
"137","1.5.5.6","178.071037416237"
"138","2.5.5.6","183.975206746333"
"139","1.6.5.6","359.247485441656"
"140","2.6.5.6","371.158787898444"
"141","1.7.5.6","332.917000018642"
"142","2.7.5.6","343.955282096951"
"143","1.8.5.6","856.350940910635"
"144","2.8.5.6","884.744333988394"
"145","1.9.5.6","879.808921520156"
"146","2.9.5.6","908.980093464541"
"147","1.10.5.6","2872.43930873885"
"148","2.10.5.6","2967.67864869719"
"149","1.11.5.6","2806.26252343676"
"150","2.11.5.6","2899.30768880155"
"151","1.12.5.6","903.883132047436"
"152","2.12.5.6","933.852514736836"
"153","1.13.5.6","1289.21364050419"
"154","2.13.5.6","1331.95914110131"
"155","1.14.5.6","849.468089427626"
"156","2.14.5.6","877.633272903087"
"157","1.15.5.6","227.211734204513"
"158","2.15.5.6","234.745225175268"
"159","1.16.5.6","118.876573780732"
"160","2.16.5.6","122.818076178691"
