"","V1","V2"
"1","1.1.1.4","118870.110156094"
"2","2.1.1.4","122287.323992068"
"3","1.2.1.4","66671.3424400333"
"4","2.2.1.4","68587.9742455382"
"5","1.3.1.4","42250.9074829174"
"6","2.3.1.4","43465.513790958"
"7","1.4.1.4","116390.404703905"
"8","2.4.1.4","119736.333304514"
"9","1.5.1.4","24717.4188428909"
"10","2.5.1.4","25427.9818729796"
"11","1.6.1.4","50515.8590300027"
"12","2.6.1.4","51968.0617089331"
"13","1.7.1.4","54961.8177940856"
"14","2.7.1.4","56541.8304984534"
"15","1.8.1.4","135370.094873624"
"16","2.8.1.4","139261.641374016"
"17","1.9.1.4","122568.989456405"
"18","2.9.1.4","126092.536680192"
"19","1.10.1.4","394015.340887607"
"20","2.10.1.4","405342.281467531"
"21","1.11.1.4","399889.022184045"
"22","2.11.1.4","411384.816186986"
"23","1.12.1.4","128209.483405494"
"24","2.12.1.4","131895.180508164"
"25","1.13.1.4","182463.819587245"
"26","2.13.1.4","187709.191094341"
"27","1.14.1.4","112884.234947252"
"28","2.14.1.4","116129.370070106"
"29","1.15.1.4","29857.6599354966"
"30","2.15.1.4","30715.9918450692"
"31","1.16.1.4","14872.9529996099"
"32","2.16.1.4","15300.5126334431"
"33","1.1.2.4","2533.00905261402"
"34","2.1.2.4","2605.82663114468"
"35","1.2.2.4","1420.70293136576"
"36","2.2.2.4","1461.54453324109"
"37","1.3.2.4","900.32667585528"
"38","2.3.2.4","926.208781706692"
"39","1.4.2.4","2480.16888657091"
"40","2.4.2.4","2551.46744449781"
"41","1.5.2.4","526.704699811244"
"42","2.5.2.4","541.846122539834"
"43","1.6.2.4","1076.44493687727"
"44","2.6.2.4","1107.38999553946"
"45","1.7.2.4","1171.18409192796"
"46","2.7.2.4","1204.85266073935"
"47","1.8.2.4","2884.6080424914"
"48","2.8.2.4","2967.53319921262"
"49","1.9.2.4","2611.8286544459"
"50","2.9.2.4","2686.91209639313"
"51","1.10.2.4","8396.09237365496"
