"","V1","V2"
"1","1.1.1.7","174513.254226521"
"2","2.1.1.7","179158.660621531"
"3","1.2.1.7","88834.3405799447"
"4","2.2.1.7","91199.041276494"
"5","1.3.1.7","53612.4590715358"
"6","2.3.1.7","55039.5808184022"
"7","1.4.1.7","134792.344638923"
"8","2.4.1.7","138380.411474071"
"9","1.5.1.7","27615.2225840424"
"10","2.5.1.7","28350.318219959"
"11","1.6.1.7","55061.6836715082"
"12","2.6.1.7","56527.3826442384"
"13","1.7.1.7","56480.2243630121"
"14","2.7.1.7","57983.683779951"
"15","1.8.1.7","185865.415247111"
"16","2.8.1.7","190813.007293497"
"17","1.9.1.7","245756.274051426"
"18","2.9.1.7","252298.113937183"
"19","1.10.1.7","611009.259407824"
"20","2.10.1.7","627273.84821309"
"21","1.11.1.7","410067.423749762"
"22","2.11.1.7","420983.097983879"
"23","1.12.1.7","101076.925021283"
"24","2.12.1.7","103767.513744546"
"25","1.13.1.7","139569.88819498"
"26","2.13.1.7","143285.129504561"
"27","1.14.1.7","91066.5949210259"
"28","2.14.1.7","93490.7164829835"
"29","1.15.1.7","23772.3580859478"
"30","2.15.1.7","24405.1596732334"
"31","1.16.1.7","12526.1155570904"
"32","2.16.1.7","12859.5509604438"
"33","1.1.2.7","14471.0992902556"
"34","2.1.2.7","14856.3086400194"
"35","1.2.2.7","7366.37780674309"
"36","2.2.2.7","7562.46502500723"
"37","1.3.2.7","4445.68650018935"
"38","2.3.2.7","4564.02719923666"
"39","1.4.2.7","11177.3367099343"
"40","2.4.2.7","11474.8686748366"
"41","1.5.2.7","2289.92708724272"
"42","2.5.2.7","2350.88315606586"
"43","1.6.2.7","4565.86002610882"
"44","2.6.2.7","4687.3996504658"
"45","1.7.2.7","4683.48916141436"
"46","2.7.2.7","4808.15998139203"
"47","1.8.2.7","15412.4504215266"
"48","2.8.2.7","15822.7178024672"
"49","1.9.2.7","20378.758385797"
"50","2.9.2.7","20921.2250021427"
"51","1.10.2.7","50666.4992257787"
"52","2.10.2.7","52015.2018246693"
"53","1.11.2.7","34003.8722622152"
"54","2.11.2.7","34909.0287579903"
"55","1.12.2.7","8381.56519640683"
"56","2.12.2.7","8604.67590932173"
"57","1.13.2.7","11573.5032215821"
"58","2.13.2.7","11881.5808293059"
"59","1.14.2.7","7551.4822239065"
"60","2.14.2.7","7752.49677704298"
"61","1.15.2.7","1971.26662814234"
"62","2.15.2.7","2023.7402046694"
"63","1.16.2.7","1038.69853754823"
"64","2.16.2.7","1066.34788057492"
"65","1.1.3.7","53972.0346916289"
"66","2.1.3.7","55408.72806039"
"67","1.2.3.7","27473.9596876998"
"68","2.2.3.7","28205.2950157535"
"69","1.3.3.7","16580.8236958126"
"70","2.3.3.7","17022.1922598935"
"71","1.4.3.7","41687.4760215911"
"72","2.4.3.7","42797.1640424857"
"73","1.5.3.7","8540.61061395577"
"74","2.5.3.7","8767.95499154591"
"75","1.6.3.7","17029.0280498735"
"76","2.6.3.7","17482.3274634584"
"77","1.7.3.7","17467.7427352003"
"78","2.7.3.7","17932.7203907264"
"79","1.8.3.7","57482.9383828347"
"80","2.8.3.7","59013.0892630707"
"81","1.9.3.7","76005.494296566"
"82","2.9.3.7","78028.7011344996"
"83","1.10.3.7","188967.955997544"
"84","2.10.3.7","193998.135253175"
"85","1.11.3.7","126822.305380892"
"86","2.11.3.7","130198.216001878"
"87","1.12.3.7","31260.2462658266"
"88","2.12.3.7","32092.3695825138"
"89","1.13.3.7","43165.0356928673"
"90","2.13.3.7","44314.0551970718"
"91","1.14.3.7","28164.3330881121"
"92","2.14.3.7","28914.0456163586"
"93","1.15.3.7","7352.12085181329"
"94","2.15.3.7","7547.82856108313"
"95","1.16.3.7","3873.97476710335"
"96","2.16.3.7","3977.09694677371"
"97","1.1.4.7","38871.5367224648"
"98","2.1.4.7","39906.2666406864"
"99","1.2.4.7","19787.1923675611"
"100","2.2.4.7","20313.911958981"
"101","1.3.4.7","11941.7787538119"
"102","2.3.4.7","12259.65956829"
"103","1.4.4.7","30023.9978777655"
"104","2.4.4.7","30823.2132288476"
"105","1.5.4.7","6151.08659529833"
"106","2.5.4.7","6314.82371161482"
"107","1.6.4.7","12264.5828153522"
"108","2.6.4.7","12591.0564215839"
"109","1.7.4.7","12580.5522632116"
"110","2.7.4.7","12915.4367291239"
"111","1.8.4.7","41400.1466320504"
"112","2.8.4.7","42502.1861692263"
"113","1.9.4.7","54740.3924928607"
"114","2.9.4.7","56197.5389455972"
"115","1.10.4.7","136097.793661038"
"116","2.10.4.7","139720.610528569"
"117","1.11.4.7","91339.4858838923"
"118","2.11.4.7","93770.8715899383"
"119","1.12.4.7","22514.1375087689"
"120","2.12.4.7","23113.4462479527"
"121","1.13.4.7","31088.1603713569"
"122","2.13.4.7","31915.7028960682"
"123","1.14.4.7","20284.4105128407"
"124","2.14.4.7","20824.3656625684"
"125","1.15.4.7","5295.11694921493"
"126","2.15.4.7","5436.06882274012"
"127","1.16.4.7","2790.09960031609"
"128","2.16.4.7","2864.369870408"
"129","1.1.5.7","10034.9937095994"
"130","2.1.5.7","10302.1173969036"
"131","1.2.5.7","5108.21973303547"
"132","2.2.5.7","5244.19654878011"
"133","1.3.5.7","3082.86434702937"
"134","2.3.5.7","3164.9277857986"
"135","1.4.5.7","7750.93179339827"
"136","2.4.5.7","7957.25553814719"
"137","1.5.5.7","1587.95150630993"
