"","V1","V2"
"1","1.1.1.2","191499.147888283"
"2","2.1.1.2","198286.903731806"
"3","1.2.1.2","106857.066101928"
"4","2.2.1.2","110644.65305912"
"5","1.3.1.2","66947.6528826294"
"6","2.3.1.2","69320.6364027927"
"7","1.4.1.2","182775.362326832"
"8","2.4.1.2","189253.900468473"
"9","1.5.1.2","38949.4599818414"
"10","2.5.1.2","40330.0375327559"
"11","1.6.1.2","78662.5392749194"
"12","2.6.1.2","81450.7611365706"
"13","1.7.1.2","84854.3706140289"
"14","2.7.1.2","87862.0641538449"
"15","1.8.1.2","217004.387436949"
"16","2.8.1.2","224696.185625809"
"17","1.9.1.2","206785.273055932"
"18","2.9.1.2","214114.851077651"
"19","1.10.1.2","618046.790374098"
"20","2.10.1.2","639953.680087151"
"21","1.11.1.2","619191.554553392"
"22","2.11.1.2","641139.020842546"
"23","1.12.1.2","194846.574851585"
"24","2.12.1.2","201752.981442025"
"25","1.13.1.2","278210.048563118"
"26","2.13.1.2","288071.303319003"
"27","1.14.1.2","174881.674832674"
"28","2.14.1.2","181080.418395559"
"29","1.15.1.2","44016.0275767667"
"30","2.15.1.2","45576.191429648"
"31","1.16.1.2","21938.4326903774"
"32","2.16.1.2","22716.0482898929"
"33","1.1.2.2","3338.01949167167"
"34","2.1.2.2","3456.33678738939"
"35","1.2.2.2","1862.62431663232"
"36","2.2.2.2","1928.64570225689"
"37","1.3.2.2","1166.96378395509"
"38","2.3.2.2","1208.32723298904"
"39","1.4.2.2","3185.95528372921"
"40","2.4.2.2","3298.88260916542"
"41","1.5.2.2","678.927598598613"
"42","2.5.2.2","702.992430351312"
"43","1.6.2.2","1371.16583681747"
"44","2.6.2.2","1419.76730070872"
"45","1.7.2.2","1479.0955792054"
"46","2.7.2.2","1531.52265144876"
"47","1.8.2.2","3782.60103520351"
"48","2.8.2.2","3916.67668286852"
"49","1.9.2.2","3604.47176743592"
"50","2.9.2.2","3732.23355944399"
"51","1.10.2.2","10773.1666473911"
"52","2.10.2.2","11155.0253954349"
"53","1.11.2.2","10793.1210189169"
"54","2.11.2.2","11175.6870568021"
"55","1.12.2.2","3396.36845339639"
"56","2.12.2.2","3516.7539489483"
"57","1.13.2.2","4849.47622547325"
"58","2.13.2.2","5021.36764614257"
"59","1.14.2.2","3048.36050585566"
"60","2.14.2.2","3156.41073513844"
"61","1.15.2.2","767.24288132561"
"62","2.15.2.2","794.438079886793"
"63","1.16.2.2","382.408573326544"
"64","2.16.2.2","395.963182090259"
"65","1.1.3.2","13169.0890812959"
"66","2.1.3.2","13635.8721576237"
"67","1.2.3.2","7348.38895096887"
"68","2.2.3.2","7608.85522767271"
"69","1.3.3.2","4603.88265074346"
"70","2.3.3.2","4767.06891924691"
