"","V1","V2"
"1","1.1.1.8","237775.759597923"
"2","2.1.1.8","246534.199312294"
"3","1.2.1.8","133223.590354746"
"4","2.2.1.8","138130.864277988"
"5","1.3.1.8","83999.8444217912"
"6","2.3.1.8","87093.9679549423"
"7","1.4.1.8","228268.91293866"
"8","2.4.1.8","236677.169171419"
"9","1.5.1.8","47585.8622388491"
"10","2.5.1.8","49338.6813924083"
"11","1.6.1.8","96854.1158808825"
"12","2.6.1.8","100421.724860309"
"13","1.7.1.8","96651.1607274825"
"14","2.7.1.8","100211.293879773"
"15","1.8.1.8","237798.903606644"
"16","2.8.1.8","246558.195827619"
"17","1.9.1.8","235026.073331026"
"18","2.9.1.8","243683.228703196"
"19","1.10.1.8","783904.488311531"
"20","2.10.1.8","812779.509946669"
"21","1.11.1.8","764133.718861571"
"22","2.11.1.8","792280.486730947"
"23","1.12.1.8","238293.829331602"
"24","2.12.1.8","247071.352078398"
"25","1.13.1.8","339903.14885048"
"26","2.13.1.8","352423.437894939"
"27","1.14.1.8","223036.141582248"
"28","2.14.1.8","231251.6493509"
"29","1.15.1.8","62122.0800240339"
"30","2.15.1.8","64410.3389018181"
"31","1.16.1.8","34551.7796350789"
"32","2.16.1.8","35824.4900218307"
"33","1.1.2.8","5095.95424181777"
"34","2.1.2.8","5283.66306499482"
"35","1.2.2.8","2855.21670302505"
"36","2.2.2.8","2960.38824535215"
"37","1.3.2.8","1800.26493960993"
"38","2.3.2.8","1866.57746856634"
"39","1.4.2.8","4892.20573674935"
"40","2.4.2.8","5072.40950978355"
"41","1.5.2.8","1019.8490247142"
"42","2.5.2.8","1057.41503319136"
"43","1.6.2.8","2075.75466689837"
"44","2.6.2.8","2152.21482474876"
"45","1.7.2.8","2071.40497971151"
"46","2.7.2.8","2147.70491739031"
"47","1.8.2.8","5096.45025877768"
"48","2.8.2.8","5284.17735267604"
"49","1.9.2.8","5037.02361146605"
"50","2.9.2.8","5222.56173240609"
"51","1.10.2.8","16800.4569058941"
"52","2.10.2.8","17419.2995887352"
"53","1.11.2.8","16376.7344178957"
"54","2.11.2.8","16979.9693370479"
