"","V1","V2"
"1","1.1.1.9","138381.813390988"
"2","2.1.1.9","144135.810351032"
"3","1.2.1.9","77645.8750030464"
"4","2.2.1.9","80874.4360240318"
"5","1.3.1.9","49797.4312165164"
"6","2.3.1.9","51868.0376120852"
"7","1.4.1.9","138754.764842507"
"8","2.4.1.9","144524.269342636"
"9","1.5.1.9","29912.2954280175"
"10","2.5.1.9","31156.066215111"
"11","1.6.1.9","60258.7661673897"
"12","2.6.1.9","62764.3610056612"
"13","1.7.1.9","63158.2533919795"
"14","2.7.1.9","65784.4106095634"
"15","1.8.1.9","155707.698366809"
"16","2.8.1.9","162182.115785567"
"17","1.9.1.9","143553.126437424"
"18","2.9.1.9","149522.14962685"
"19","1.10.1.9","464877.441310267"
"20","2.10.1.9","484207.317964899"
"21","1.11.1.9","496901.258866057"
"22","2.11.1.9","517562.704636236"
"23","1.12.1.9","168953.083188231"
"24","2.12.1.9","175978.25147612"
"25","1.13.1.9","249055.857665756"
"26","2.13.1.9","259411.746295722"
"27","1.14.1.9","162995.207118103"
"28","2.14.1.9","169772.643424775"
"29","1.15.1.9","46689.035096151"
"30","2.15.1.9","48630.3925579987"
"31","1.16.1.9","25182.6354162753"
"32","2.16.1.9","26229.7441661926"
"33","1.1.2.9","1971.18363773627"
"34","2.1.2.9","2053.14660946851"
"35","1.2.2.9","1106.02885302042"
"36","2.2.2.9","1152.01818140144"
"37","1.3.2.9","709.340911279652"
"38","2.3.2.9","738.835722390454"
"39","1.4.2.9","1976.49615518989"
"40","2.4.2.9","2058.68002451358"
"41","1.5.2.9","426.086534566842"
"42","2.5.2.9","443.803462568687"
"43","1.6.2.9","858.357691582828"
"44","2.6.2.9","894.04870781516"
"45","1.7.2.9","899.659519004241"
"46","2.7.2.9","937.067889443774"
"47","1.8.2.9","2217.98269417834"
"48","2.8.2.9","2310.20771542208"
"49","1.9.2.9","2044.84655205251"
"50","2.9.2.9","2129.87247096442"
"51","1.10.2.9","6621.95980388256"
"52","2.10.2.9","6897.30477622667"
"53","1.11.2.9","7078.12397485977"
"54","2.11.2.9","7372.43652096784"
"55","1.12.2.9","2406.65695126252"
"56","2.12.2.9","2506.72715877097"
"57","1.13.2.9","3547.68317803445"
"58","2.13.2.9","3695.19792525005"
"59","1.14.2.9","2321.78981780537"
"60","2.14.2.9","2418.33120013113"
"61","1.15.2.9","665.063275209404"
"62","2.15.2.9","692.716996244112"
"63","1.16.2.9","358.714759340424"
"64","2.16.2.9","373.63032941563"
"65","1.1.3.9","2894.00711668483"
"66","2.1.3.9","3014.34162989647"
"67","1.2.3.9","1623.8240367984"
"68","2.2.3.9","1691.34359260147"
"69","1.3.3.9","1041.4238461093"
"70","2.3.3.9","1084.72686041291"
"71","1.4.3.9","2901.80672653547"
"72","2.4.3.9","3022.46555209907"
"73","1.5.3.9","625.5619414415"
"74","2.5.3.9","651.573173851087"
"75","1.6.3.9","1260.20387981438"
"76","2.6.3.9","1312.60389623127"
"77","1.7.3.9","1320.84144812685"
"78","2.7.3.9","1375.76281019737"
"79","1.8.3.9","3256.34688658811"
"80","2.8.3.9","3391.74769994018"
"81","1.9.3.9","3002.15584224536"
"82","2.9.3.9","3126.98724289371"
"83","1.10.3.9","9722.07684355842"
"84","2.10.3.9","10126.3265005931"
"85","1.11.3.9","10391.7974783648"
"86","2.11.3.9","10823.8945121777"
"87","1.12.3.9","3533.3503236519"
"88","2.12.3.9","3680.26910237622"
"89","1.13.3.9","5208.55600078212"
"90","2.13.3.9","5425.13081404922"
"91","1.14.3.9","3408.75204498533"
"92","2.14.3.9","3550.48995420732"
"93","1.15.3.9","976.417323406807"
"94","2.15.3.9","1017.01732837091"
"95","1.16.3.9","526.649595967257"
"96","2.16.3.9","548.547995041141"
"97","1.1.4.9","1356.71751238996"
"98","2.1.4.9","1413.13062225341"
"99","1.2.4.9","761.252622726035"
"100","2.2.4.9","792.905953244363"
"101","1.3.4.9","488.222009438429"
"102","2.3.4.9","508.522566927134"
"103","1.4.4.9","1360.37398828912"
"104","2.4.4.9","1416.93913656494"
"105","1.5.4.9","293.264946082982"
"106","2.5.4.9","305.459074537427"
"107","1.6.4.9","590.786616614991"
"108","2.6.4.9","615.351870622988"
"109","1.7.4.9","619.213654808494"
"110","2.7.4.9","644.960921736689"
"111","1.8.4.9","1526.58326995114"
"112","2.8.4.9","1590.05949763818"
"113","1.9.4.9","1407.41789562837"
"114","2.9.4.9","1465.93915716203"
"115","1.10.4.9","4557.73305960845"
"116","2.10.4.9","4747.24627328182"
"117","1.11.4.9","4871.6997075867"
"118","2.11.4.9","5074.26783862062"
"119","1.12.4.9","1656.44314897146"
"120","2.12.4.9","1725.3190265894"
"121","1.13.4.9","2441.78360854199"
"122","2.13.4.9","2543.31440306148"
"123","1.14.4.9","1598.03117558481"
"124","2.14.4.9","1664.47824909142"
"125","1.15.4.9","457.746794895394"
"126","2.15.4.9","476.780175090057"
"127","1.16.4.9","246.894600093579"
"128","2.16.4.9","257.160622366142"
"129","1.1.5.9","428.025783226106"
"130","2.1.5.9","445.82334632455"
"131","1.2.5.9","240.164770558062"
"132","2.2.5.9","250.150962571575"
"133","1.3.5.9","154.027353571923"
"134","2.3.5.9","160.431901268608"
"135","1.4.5.9","429.179351265359"
"136","2.4.5.9","447.024880399428"
"137","1.5.5.9","92.521071699597"
"138","2.5.5.9","96.3681521233465"
"139","1.6.5.9","186.385081630354"
"140","2.6.5.9","194.135082637121"
"141","1.7.5.9","195.353422627249"
"142","2.7.5.9","203.47633251249"
"143","1.8.5.9","481.616101961907"
"144","2.8.5.9","501.641981943454"
"145","1.9.5.9","444.021059359351"
"146","2.9.5.9","462.483715420449"
"147","1.10.5.9","1437.90232289248"
"148","2.10.5.9","1497.69114479052"
"149","1.11.5.9","1536.9544978519"
"150","2.11.5.9","1600.86196727765"
"151","1.12.5.9","522.58511424318"
"152","2.12.5.9","544.314509783208"
"153","1.13.5.9","770.349267235265"
"154","2.13.5.9","802.380841567358"
"155","1.14.5.9","504.15693709482"
"156","2.14.5.9","525.120078221118"
"157","1.15.5.9","144.412841004168"
"158","2.15.5.9","150.417611629491"
"159","1.16.5.9","77.8918629812569"
"160","2.16.5.9","81.1306523266453"
