"","V1","V2"
"1","1.1.1.5","144763.01961518"
"2","2.1.1.5","148717.04059871"
"3","1.2.1.5","81932.0476630142"
"4","2.2.1.5","84169.9191618562"
"5","1.3.1.5","51512.3146565419"
"6","2.3.1.5","52919.3091611025"
"7","1.4.1.5","139033.308919731"
"8","2.4.1.5","142830.830015516"
"9","1.5.1.5","29304.6365647816"
"10","2.5.1.5","30105.0560931935"
"11","1.6.1.5","59578.3013216655"
"12","2.6.1.5","61205.6081726495"
"13","1.7.1.5","61800.74197951"
"14","2.7.1.5","63488.7520198799"
"15","1.8.1.5","155415.393526508"
"16","2.8.1.5","159660.370792117"
"17","1.9.1.5","148225.000335175"
"18","2.9.1.5","152273.580995947"
"19","1.10.1.5","452748.331884314"
"20","2.10.1.5","465114.586811073"
"21","1.11.1.5","438545.846688994"
"22","2.11.1.5","450524.178480204"
"23","1.12.1.5","136792.09971585"
"24","2.12.1.5","140528.404982868"
"25","1.13.1.5","206327.114709882"
"26","2.13.1.5","211962.682019839"
"27","1.14.1.5","129337.314832524"
"28","2.14.1.5","132870.001966024"
"29","1.15.1.5","33463.5015593491"
"30","2.15.1.5","34377.5152881299"
"31","1.16.1.5","16841.0979609307"
"32","2.16.1.5","17301.0915069359"
"33","1.1.2.5","4114.950024612"
"34","2.1.2.5","4227.34474245322"
"35","1.2.2.5","2328.95308790642"
"36","2.2.2.5","2392.56553122045"
"37","1.3.2.5","1464.25931862456"
"38","2.3.2.5","1504.25373216029"
"39","1.4.2.5","3952.08057611657"
"40","2.4.2.5","4060.02671849537"
"41","1.5.2.5","832.996681569972"
"42","2.5.2.5","855.748945006406"
"43","1.6.2.5","1693.5383991135"
"44","2.6.2.5","1739.79528422344"
"45","1.7.2.5","1756.71221424948"
"46","2.7.2.5","1804.69461317726"
"47","1.8.2.5","4417.74825585309"
"48","2.8.2.5","4538.41352900109"
"49","1.9.2.5","4213.35828997436"
"50","2.9.2.5","4328.44090661205"
"51","1.10.2.5","12869.5627127899"
"52","2.10.2.5","13221.0787363607"
"53","1.11.2.5","12465.8510676516"
"54","2.11.2.5","12806.3402121174"
"55","1.12.2.5","3888.37325712594"
"56","2.12.2.5","3994.57931369579"
"57","1.13.2.5","5864.93545112899"
"58","2.13.2.5","6025.12883409694"
"59","1.14.2.5","3676.46784564264"
"60","2.14.2.5","3776.88597069686"
"61","1.15.2.5","951.21417701353"
"62","2.15.2.5","977.195403612288"
"63","1.16.2.5","478.715328355571"
"64","2.16.2.5","491.790839342333"
"65","1.1.3.5","18883.4886050561"
"66","2.1.3.5","19399.2674993145"
"67","1.2.3.5","10687.556066088"
"68","2.2.3.5","10979.4733047606"
"69","1.3.3.5","6719.47994330776"
"70","2.3.3.5","6903.01414123257"
"71","1.4.3.5","18136.0813810606"
"72","2.4.3.5","18631.4457809629"
"73","1.5.3.5","3822.61831866579"
"74","2.5.3.5","3927.0283612596"
"75","1.6.3.5","7771.64069323054"
"76","2.6.3.5","7983.91334724932"
"77","1.7.3.5","8061.54506901229"
"78","2.7.3.5","8281.73609878826"
"79","1.8.3.5","20273.0284330182"
"80","2.8.3.5","20826.7608712952"
"81","1.9.3.5","19335.0837268677"
"82","2.9.3.5","19863.1973775609"
"83","1.10.3.5","59058.3699402127"
"84","2.10.3.5","60671.4755152237"
"85","1.11.3.5","57205.7388741972"
"86","2.11.3.5","58768.2421467054"
"87","1.12.3.5","17843.7287583015"
"88","2.12.3.5","18331.1079116397"
"89","1.13.3.5","26914.1644730488"
"90","2.13.3.5","27649.2912434319"
"91","1.14.3.5","16871.2957034257"
"92","2.14.3.5","17332.1140630317"
"93","1.15.3.5","4365.11791520395"
"94","2.15.3.5","4484.3456563645"
"95","1.16.3.5","2196.82265738342"
"96","2.16.3.5","2256.82612309916"
"97","1.1.4.5","5689.86799605555"
"98","2.1.4.5","5845.27963025414"
"99","1.2.4.5","3220.3150852222"
"100","2.2.4.5","3308.2739676384"
"101","1.3.4.5","2024.67640800901"
"102","2.3.4.5","2079.9779140387"
"103","1.4.4.5","5464.6633989191"
"104","2.4.4.5","5613.92385096473"
"105","1.5.4.5","1151.81013886854"
"106","2.5.4.5","1183.27039349873"
"107","1.6.4.5","2341.70764640468"
"108","2.6.4.5","2405.66846454587"
"109","1.7.4.5","2429.06002414464"
"110","2.7.4.5","2495.40676332742"
"111","1.8.4.5","6108.55642602338"
"112","2.8.4.5","6275.40401148946"
"113","1.9.4.5","5825.94013211641"
"114","2.9.4.5","5985.06840667446"
"115","1.10.4.5","17795.1402969074"
"116","2.10.4.5","18281.1923171393"
"117","1.11.4.5","17236.9157849283"
"118","2.11.4.5","17707.7206001782"
"119","1.12.4.5","5376.573328986"
"120","2.12.4.5","5523.42771084961"
"121","1.13.4.5","8109.62668385188"
"122","2.13.4.5","8331.13100285395"
"123","1.14.4.5","5083.56519722783"
"124","2.14.4.5","5222.41642811824"
"125","1.15.4.5","1315.27310679646"
"126","2.15.4.5","1351.19814813071"
"127","1.16.4.5","661.934412262617"
"128","2.16.4.5","680.014323573974"
"129","1.1.5.5","1559.07850363847"
"130","2.1.5.5","1601.66278472589"
"131","1.2.5.5","882.397276666733"
"132","2.2.5.5","906.498855626777"
"133","1.3.5.5","554.780790475122"
"134","2.3.5.5","569.933934507549"
"135","1.4.5.5","1497.37028008049"
"136","2.4.5.5","1538.26907815261"
"137","1.5.5.5","315.607045546167"
"138","2.5.5.5","324.227457609667"
"139","1.6.5.5","641.650396080599"
"140","2.6.5.5","659.176274837046"
"141","1.7.5.5","665.58578693158"
"142","2.7.5.5","683.765430979227"
"143","1.8.5.5","1673.80315653683"
"144","2.8.5.5","1719.52099815715"
"145","1.9.5.5","1596.36357640707"
"146","2.9.5.5","1639.96625266538"
"147","1.10.5.5","4876.03943103291"
"148","2.10.5.5","5009.22235494589"
"149","1.11.5.5","4723.08055089122"
"150","2.11.5.5","4852.08559413202"
"151","1.12.5.5","1473.23275448026"
