"","V1","V2"
"1","1.1.1.3","143413.385628433"
"2","2.1.1.3","148247.618501034"
"3","1.2.1.3","79825.8115733097"
"4","2.2.1.3","82516.6103484642"
"5","1.3.1.3","50063.9328597894"
"6","2.3.1.3","51751.5069234094"
"7","1.4.1.3","133654.025420603"
"8","2.4.1.3","138159.286072616"
"9","1.5.1.3","28719.6169437521"
"10","2.5.1.3","29687.7086996898"
"11","1.6.1.3","57175.0661578395"
"12","2.6.1.3","59102.3450035497"
"13","1.7.1.3","66337.9749297651"
"14","2.7.1.3","68574.1205845238"
"15","1.8.1.3","167093.293587407"
"16","2.8.1.3","172725.737791355"
"17","1.9.1.3","151647.122617339"
"18","2.9.1.3","156758.901423618"
"19","1.10.1.3","455032.625794993"
"20","2.10.1.3","470371.038371232"
"21","1.11.1.3","450205.560916574"
"22","2.11.1.3","465381.260956523"
"23","1.12.1.3","142051.93937869"
"24","2.12.1.3","146840.280104013"
"25","1.13.1.3","202535.433450033"
"26","2.13.1.3","209362.574765749"
"27","1.14.1.3","129429.524950344"
"28","2.14.1.3","133792.384535998"
"29","1.15.1.3","33127.0699408366"
"30","2.15.1.3","34243.7297963947"
"31","1.16.1.3","16781.4187672823"
"32","2.16.1.3","17347.0932048405"
"33","1.1.2.3","2584.582860958"
"34","2.1.2.3","2671.70496168558"
"35","1.2.2.3","1438.61344288308"
"36","2.2.2.3","1487.10677121555"
"37","1.3.2.3","902.247598817651"
"38","2.3.2.3","932.660903561255"
"39","1.4.2.3","2408.70056784747"
"40","2.4.2.3","2489.89396143703"
"41","1.5.2.3","517.582298199256"
"42","2.5.2.3","535.029158889889"
"43","1.6.2.3","1030.40378984257"
"44","2.6.2.3","1065.13703214825"
"45","1.7.2.3","1195.53688996893"
"46","2.7.2.3","1235.83650153287"
"47","1.8.2.3","3011.33998681232"
"48","2.8.2.3","3112.84737882482"
"49","1.9.2.3","2732.97051257023"
"50","2.9.2.3","2825.09452061748"
"51","1.10.2.3","8200.55617997548"
"52","2.10.2.3","8476.98364234332"
"53","1.11.2.3","8113.56326018054"
"54","2.11.2.3","8387.05833216715"
"55","1.12.2.3","2560.04700171597"
"56","2.12.2.3","2646.34203838125"
"57","1.13.2.3","3650.07497548312"
"58","2.13.2.3","3773.11308909168"
"59","1.14.2.3","2332.56700846112"
"60","2.14.2.3","2411.1940631146"
"61","1.15.2.3","597.013011216912"
"62","2.15.2.3","617.137352550523"
"63","1.16.2.3","302.43318737939"
"64","2.16.2.3","312.627720126723"
"65","1.1.3.3","11797.2981781356"
"66","2.1.3.3","12194.965985856"
"67","1.2.3.3","6566.53419982645"
"68","2.2.3.3","6787.88142866954"
"69","1.3.3.3","4118.29859067215"
"70","2.3.3.3","4257.11976373751"
"71","1.4.3.3","10994.485512532"
"72","2.4.3.3","11365.091806004"
"73","1.5.3.3","2362.49833418692"
"74","2.5.3.3","2442.13432533618"
"75","1.6.3.3","4703.26602264479"
"76","2.6.3.3","4861.80550008356"
"77","1.7.3.3","5457.01412285023"
"78","2.7.3.3","5640.96122753179"
"79","1.8.3.3","13745.2260776039"
"80","2.8.3.3","14208.555378802"
"81","1.9.3.3","12474.6118748511"
"82","2.9.3.3","12895.1108299109"
"83","1.10.3.3","37431.342574896"
"84","2.10.3.3","38693.0924872087"
"85","1.11.3.3","37034.2644120287"
"86","2.11.3.3","38282.6294628132"
"87","1.12.3.3","11685.3045361799"
"88","2.12.3.3","12079.197219681"
"89","1.13.3.3","16660.724447567"
"90","2.13.3.3","17222.3304751553"
"91","1.14.3.3","10646.9747729805"
"92","2.14.3.3","11005.8670424556"
"93","1.15.3.3","2725.05889284662"
"94","2.15.3.3","2816.9162130113"
"95","1.16.3.3","1380.45273934695"
"96","2.16.3.3","1426.9855645946"
"97","1.1.4.3","2455.80914832033"
"98","2.1.4.3","2538.59049583278"
"99","1.2.4.3","1366.9362694061"
"100","2.2.4.3","1413.0134763513"
"101","1.3.4.3","857.294204297691"
"102","2.3.4.3","886.192202945067"
"103","1.4.4.3","2288.68997757403"
"104","2.4.4.3","2365.83800860543"
"105","1.5.4.3","491.794386679194"
"106","2.5.4.3","508.371978653801"
"107","1.6.4.3","979.065168226558"
"108","2.6.4.3","1012.06786877588"
"109","1.7.4.3","1135.97071151818"
"110","2.7.4.3","1174.26244371506"
"111","1.8.4.3","2861.30361693081"
"112","2.8.4.3","2957.75352600204"
"113","1.9.4.3","2596.80356480115"
"114","2.9.4.3","2684.33760565542"
"115","1.10.4.3","7791.97339435807"
"116","2.10.4.3","8054.6281930045"
"117","1.11.4.3","7709.31479149466"
"118","2.11.4.3","7969.18330256119"
"119","1.12.4.3","2432.49575856654"
"120","2.12.4.3","2514.49124948251"
"121","1.13.4.3","3468.21440792345"
"122","2.13.4.3","3585.12229644825"
"123","1.14.4.3","2216.34968063115"
"124","2.14.4.3","2291.05923745763"
"125","1.15.4.3","567.267560564616"
"126","2.15.4.3","586.389230950019"
"127","1.16.4.3","287.364819886907"
"128","2.16.4.3","297.051422379687"
"129","1.1.5.3","1250.44685117661"
"130","2.1.5.3","1292.59738856828"
"131","1.2.5.3","696.015468061529"
"132","2.2.5.3","719.477021812581"
"133","1.3.5.3","436.516346976396"
"134","2.3.5.3","451.230605793549"
"135","1.4.5.3","1165.35325138532"
"136","2.4.5.3","1204.63542139583"
"137","1.5.5.3","250.411455088006"
"138","2.5.5.3","258.852419524886"
"139","1.6.5.3","498.519584692868"
"140","2.6.5.3","515.323872196418"
"141","1.7.5.3","578.412618186677"
"142","2.7.5.3","597.909970407409"
"143","1.8.5.3","1456.91618605563"
"144","2.8.5.3","1506.02647020653"
"145","1.9.5.3","1322.23827040905"
"146","2.9.5.3","1366.80878022731"
"147","1.10.5.3","3967.51050548496"
"148","2.10.5.3","4101.248856504"
"149","1.11.5.3","3925.42246711116"
"150","2.11.5.3","4057.74209854725"
"151","1.12.5.3","1238.57615885191"
"152","2.12.5.3","1280.3265544381"
"153","1.13.5.3","1765.94251575267"
"154","2.13.5.3","1825.46957679629"
"155","1.14.5.3","1128.51907940283"
"156","2.14.5.3","1166.55962915417"
"157","1.15.5.3","288.840822735683"
"158","2.15.5.3","298.57717889309"
"159","1.16.5.3","146.32017899774"
"160","2.16.5.3","151.252395165262"
