region,sex,enddate,ethnicity,age,vote
North West,male,2015-04-01,white,Age 45 to 49,LD
Wales,male,2015-04-08,white,Age 55 to 59,Lab
Wales,male,2015-04-20,mixed,Age 35 to 39,LD
Wales,male,2015-05-06,white,Age 70 to 74,Lab
Wales,female,2015-04-14,white,Age 55 to 59,Lab
Wales,female,2015-05-02,white,Age 30 to 34,Lab
Wales,male,2015-05-03,white,Age 60 to 64,UKIP
Wales,male,2015-05-01,white,Age 65 to 69,Con
Wales,female,2015-04-02,white,Age 60 to 64,Lab
Wales,male,2015-05-04,white,Age 70 to 74,Don't know
Wales,male,2015-04-09,white,Age 30 to 34,Don't vote
Wales,male,2015-05-05,white,Age 45 to 49,Lab
Wales,female,2015-04-08,white,Age 65 to 69,PC
Wales,male,2015-04-06,white,Age 40 to 44,UKIP
Wales,male,2015-04-28,white,Age 60 to 64,Lab
Wales,male,2015-04-22,white,Age 50 to 54,UKIP
Wales,male,2015-03-31,white,Age 55 to 59,Lab
Wales,female,2015-04-30,white,Age 60 to 64,Lab
Wales,female,2015-05-02,white,Age 55 to 59,Lab
Wales,male,2015-05-05,white,Age 55 to 59,Lab
Wales,male,2015-04-17,white,Age 40 to 44,Don't know
Wales,male,2015-04-21,other,Age 25 to 29,Lab
Wales,male,2015-04-02,white,Age 65 to 69,Lab
Wales,male,2015-04-15,white,Age 70 to 74,Con
Wales,female,2015-04-26,white,Age 35 to 39,PC
Wales,female,2015-04-14,white,Age 35 to 39,UKIP
Wales,male,2015-04-21,black,Age 50 to 54,PC
Wales,female,2015-04-15,white,Age 65 to 69,Lab
Wales,female,2015-05-02,white,Age 55 to 59,Lab
Wales,male,2015-05-05,white,Age 65 to 69,UKIP
Wales,female,2015-05-02,white,Age 75 to 79,Con
Wales,female,2015-04-30,white,Age 65 to 69,Don't know
Wales,male,2015-03-30,white,Age 55 to 59,LD
Wales,male,2015-04-19,white,Age 60 to 64,Lab
Wales,female,2015-04-07,white,Age 55 to 59,Don't vote
Wales,male,2015-04-07,white,Age 20 to 24,Lab
Wales,male,2015-04-05,white,Age 45 to 49,PC
Wales,female,2015-05-02,white,Age 55 to 59,UKIP
Wales,male,2015-04-04,white,Age 55 to 59,PC
Wales,female,2015-04-28,white,Age 60 to 64,Lab
Wales,female,2015-04-26,white,Age 35 to 39,Don't know
Wales,male,2015-04-29,white,Age 70 to 74,Don't know
Wales,male,2015-04-15,white,Age 65 to 69,Lab
Wales,female,2015-04-09,white,Age 25 to 29,LD
Wales,male,2015-05-05,white,Age 40 to 44,LD
Wales,male,2015-04-20,white,Age 30 to 34,PC
Wales,female,2015-04-04,white,Age 20 to 24,Lab
Wales,male,2015-04-06,white,Age 60 to 64,LD
Wales,male,2015-04-04,white,Age 55 to 59,Lab
Wales,male,2015-04-06,white,Age 55 to 59,Lab
Wales,male,2015-03-31,white,Age 45 to 49,Lab
Wales,female,2015-04-26,white,Age 55 to 59,Con
Wales,female,2015-04-17,white,Age 55 to 59,Lab
Wales,female,2015-04-29,white,Age 55 to 59,Grn
Wales,male,2015-05-06,white,Age 50 to 54,Lab
Wales,female,2015-04-02,white,Age 60 to 64,UKIP
Wales,female,2015-04-30,white,Age 60 to 64,LD
Wales,female,2015-04-13,white,Age 65 to 69,Con
Wales,female,2015-04-06,white,Age 65 to 69,Lab
Wales,male,2015-04-23,white,Age 65 to 69,Lab
Wales,female,2015-04-24,white,Age 35 to 39,Don't know
Wales,male,2015-04-25,white,Age 55 to 59,UKIP
Wales,male,2015-05-05,white,Age 75 to 79,Con
Wales,female,2015-04-16,white,Age 70 to 74,Con
Wales,male,2015-04-06,white,Age 55 to 59,UKIP
